Frame,Sub Frame,ACCX1,ACCY1,ACCZ1,GYROX1,GYROY1,GYROZ1,ACCX2,ACCY2,ACCZ2,GYROX2,GYROY2,GYROZ2
24,0,9441.31,-2885,-4912.72,-6.60269,39.6932,-14.2541,154.278,10158.4,1345.51,-0.333586,-2.45516,8.84147
24,1,9501.33,-2887.41,-4995.39,-6.14359,40.4563,-13.9028,220.173,10174.2,1364.66,-0.701022,-2.13454,8.70457
25,0,9466.77,-2912.49,-5006.29,-6.37136,41.203,-13.2939,220.298,10120.4,1373.07,-1.1424,-1.16051,8.97797
25,1,9398.56,-2877.92,-4856.96,-6.91975,41.1287,-12.7447,226.229,10092.8,1381.44,-1.55429,-0.579862,8.9941
26,0,9355.4,-2845.55,-4703.63,-7.48387,39.8958,-12.0287,82.9183,9999.58,1498.52,-1.82887,0.881181,8.96342
26,1,9257.38,-2753.52,-4550.44,-8.30645,37.9151,-11.3729,55.0201,9994.54,1515.58,-1.89024,1.43273,8.78089
27,0,9162.75,-2692.35,-4388.84,-9.72304,35.3702,-11.037,-13.0051,10020.9,1501.18,-1.75335,2.28481,8.81078
27,1,9115.98,-2660,-4154.36,-11.7191,32.6873,-10.93,-117.145,10023.3,1491.6,-1.93548,2.83477,8.70457
28,0,9143.38,-2713.7,-3924.45,-13.5338,30.7801,-10.8234,-236.824,10050.8,1539.36,-1.96656,3.24626,8.06531
28,1,9198.43,-2748.51,-3725.69,-14.4198,30.1833,-10.7471,-192.896,10074.8,1595.65,-1.95122,3.39929,7.82022
29,0,9270.22,-2724.66,-3609.41,-14.6188,30.8521,-10.6861,-253.599,10036.6,1648.32,-1.49489,3.82533,8.12431
29,1,9354.01,-2700.69,-3579.35,-14.7711,32.5578,-10.8076,-296.85,9982.71,1675.91,-1.56963,4.14595,8.23171
30,0,9347.03,-2699.45,-3544.69,-14.8627,34.0984,-10.8993,-473.679,9872.7,1763.15,-0.642418,4.48112,8.41424
30,1,9251.38,-2729.33,-3498.01,-14.9693,36.7329,-11.1884,-563.765,9815.08,1747.86,-0.0310808,4.61881,9.06884
31,0,9165.13,-2781.97,-3485.96,-14.9544,38.8234,-11.3718,-739.451,9677.64,1762.07,1.42996,4.36035,10.181
31,1,9024.01,-2929.02,-3503.88,-14.3458,39.7703,-11.6306,-837.877,9609.18,1768.13,1.93588,4.1314,10.3053
32,0,8936.46,-3116.94,-3549.32,-12.5948,40.3041,-12.1637,-877.421,9600.75,1709.58,3.63964,3.62904,11.476
32,1,8881.38,-3286.98,-3594.82,-10.1566,40.4725,-12.9103,-885.855,9604.33,1683.14,4.29858,3.65814,11.9815
33,0,8889.62,-3324.36,-3677.34,-8.00631,40.3053,-13.8855,-979.027,9659.29,1630.56,5.47009,3.76515,12.286
33,1,8886.1,-3344.65,-3726.52,-6.58735,40.974,-14.6939,-935.099,9731.12,1509.77,5.99056,3.87176,12.5606
34,0,8832.32,-3402.05,-3799.46,-5.00277,41.4933,-15.1975,-913.38,9838.78,1352.99,6.58418,4.17624,12.2113
34,1,8747.36,-3465.51,-3839.06,-2.88475,40.9922,-15.4874,-911.002,9883.23,1315.61,6.95083,4.77026,12.0732
35,0,8728.05,-3495.5,-3863.01,-1.63258,40.0169,-15.7313,-870.378,9995.56,1230.81,7.24036,6.49055,12.1188
35,1,8840.35,-3485.99,-3833.19,-0.444148,38.0221,-16.0665,-882.209,9995.87,1187.56,7.45398,7.46853,12.1798
36,0,8945.79,-3463.25,-3813.98,0.380011,35.9788,-16.5236,-1005.32,10084.2,1179.15,7.68254,10.0861,12.4689
36,1,9158.61,-3439.31,-3732.73,0.913844,34.9859,-16.7376,-1008.04,10182.4,1142.11,7.8808,11.3253,12.8348
37,0,9387.31,-3393.87,-3630.97,1.49292,35.5928,-16.6314,-970.903,10419.1,1133.65,7.78993,14.2927,13.4288
37,1,9550.24,-3373.45,-3505.33,2.05704,36.812,-16.631,-948.135,10459.1,1120.52,7.74391,15.7915,13.8714
38,0,9690.31,-3385.37,-3353.34,2.69709,38.4575,-16.8289,-903.896,10545.1,1101.36,7.8808,19.9457,14.6935
38,1,9793.33,-3393.77,-3295.66,2.77459,40.2714,-17.3466,-858.391,10584.8,1107.3,7.92683,21.8281,15.0303
39,0,9859.23,-3437.98,-3243.05,2.65264,42.5114,-18.002,-772.293,10676.7,1157.5,7.8812,26.8493,15.7911
39,1,9841.44,-3463.19,-3123.46,2.34815,44.8895,-18.6271,-725.49,10714,1140.91,8.09402,29.2514,16.0822
40,0,9784.01,-3473.97,-2952.35,2.02793,45.9442,-19.2825,-625.088,10702.1,1119.31,8.17074,34.3949,16.3257
40,1,9743.26,-3505.05,-2845.64,1.58616,46.5539,-20.0901,-600.929,10690.1,1069.11,8.07947,36.8124,16.585
41,0,9774.24,-3521.86,-2792.91,1.23525,47.7113,-20.8525,-94.475,10720,967.444,7.91188,45.1502,17.4677
41,1,9762.41,-3513.51,-2785.65,0.930372,49.6003,-21.7667,159.036,10781,995.864,7.95712,49.1436,17.4245
42,0,9703.81,-3488.4,-2686.51,0.671127,51.9017,-22.5598,684.861,10704.7,821.63,7.75964,61.5747,17.3627
42,1,9554.35,-3395.16,-2466.43,0.199059,53.5496,-23.3371,855.919,10641.1,778.069,7.72856,67.3438,17.1499
43,0,9456.02,-3290.99,-2321.36,-0.714786,54.2675,-23.8104,1061.39,10361.5,641.956,8.38277,80.4759,15.6129
43,1,9516.78,-3233.44,-2333.06,-0.382381,55.8049,-24.1306,1183.82,10178,547.176,9.05389,89.2585,14.5287
44,0,9589.87,-3125.84,-2478.91,0.410302,59.1098,-24.5268,1366.73,9806.19,291.415,10.8045,104.985,11.9107
44,1,9587.62,-3039.56,-2609.49,0.929187,62.8903,-24.9992,1472.33,9587.81,167.687,11.8434,112.266,10.6869
45,0,9506.34,-2996.4,-2695.75,1.53855,66.1231,-25.6239,1374.52,9223.18,-140.622,15.2978,130.359,6.25928
45,1,9362.78,-3091.89,-2603.93,1.79858,67.6204,-25.9296,1350.3,9044.24,-282.423,16.6762,138.486,4.17821
46,0,9258.52,-3033.66,-2548.67,2.87883,68.1853,-26.5689,1093.52,8806.34,-529.812,20.1451,153.369,0.495304
46,1,9233.25,-2987.99,-2546.23,3.32297,68.9772,-27.2246,980.48,8751.97,-669.048,22.4213,162.491,-1.94846
47,0,9138.87,-3047.68,-2547.43,4.22069,70.987,-27.4237,807.202,8571.64,-886.626,25.9536,177.334,-4.88787
47,1,8971.37,-3076.53,-2547.43,6.83948,72.4068,-27.5303,708.777,8498.24,-977.977,27.4229,183.974,-5.77734
48,0,8850.33,-3050.27,-2558.18,9.58418,72.5461,-27.7892,769.573,8573.47,-1212.18,31.8049,199.526,-6.75098
48,1,8803.53,-3047.8,-2626.3,11.4304,71.4961,-28.3678,802.042,8574.89,-1359.75,33.7793,206.475,-7.34697
49,0,8882.3,-3014.38,-2762.66,12.4681,70.5197,-28.7648,639.608,8713.38,-1584.53,37.7966,219.683,-8.35169
49,1,9004.39,-2980.83,-2912.31,12.6373,70.0767,-28.6133,559.1,8737.69,-1702.17,39.5873,225.819,-8.93234
50,0,9100.22,-3005.85,-2989.08,12.3938,70.4107,-27.9434,238.897,8679.09,-1905.38,42.9504,235.088,-10.074
50,1,9068.16,-3099.12,-2898.41,12.454,70.4119,-27.5158,44.4864,8669.39,-2046.87,44.4807,239.266,-10.655
51,0,9028.58,-3198.5,-2712.96,13.5039,68.7687,-26.9827,-634.259,8786.47,-2266.89,48.011,246.677,-10.6404
51,1,9017.77,-3236.93,-2587.1,15.4843,65.9957,-26.4642,-859.503,8832.19,-2314.03,49.4202,249.435,-10.6098
52,0,9034.48,-3213.08,-2472.21,17.6794,62.5972,-25.8395,-1324.19,9178.63,-2390.43,50.4249,252.129,-7.96304
52,1,9162.35,-3110.27,-2434.92,19.8745,59.0606,-25.1231,-1676.71,9387.46,-2436.06,51.0512,252.76,-6.57121
53,0,9271.4,-2896.18,-2371.59,21.9327,56.2542,-24.2089,-2298.43,9637.39,-2345.33,50.109,251.268,-3.07122
53,1,9251.29,-2612.55,-2222.1,23.1692,53.6019,-23.2333,-2542.52,9786.14,-2291.3,49.3454,250.154,-1.08419
54,0,9161.58,-2333.59,-2006.71,23.2321,50.2801,-22.349,-2522.38,10288.1,-2004.55,45.3742,246.288,6.28046
54,1,9104.02,-2200.41,-1748.2,22.4406,46.5154,-21.4497,-2462.54,10498.5,-1881.9,43.3553,244.513,9.5712
55,0,9157.68,-2096.3,-1533.8,22.4689,43.1759,-20.8545,-2353.7,10841.4,-1553.33,37.862,240.177,16.0842
55,1,9347.8,-1928.83,-1366.15,22.7892,41.6936,-20.4579,-2347.46,10990.5,-1395.93,35.2305,238.461,18.5814
56,0,9554.93,-1738.5,-1233.22,22.9571,40.7789,-19.9552,-2316.48,11043.2,-1063.71,30.2388,234.566,22.3245
56,1,9702.29,-1589.97,-1191.14,22.2577,41.8265,-19.087,-2324.72,11092.3,-864.508,27.8372,232.426,23.9473
57,0,9741.99,-1498.89,-1183.94,20.2781,44.1271,-18.1113,-2625.8,10735.2,-449.741,23.0889,225.883,25.9563
57,1,9758.74,-1411.53,-1207.82,17.6873,46.764,-16.9988,-2796.27,10507.2,-274.237,20.9921,222.685,26.8135
58,0,9699.05,-1324.13,-1223.42,15.0956,49.0362,-15.8859,-3400.91,10045.8,221.624,18.4198,212.825,28.5787
58,1,9587.77,-1255.86,-1247.33,12.489,50.6684,-15.1534,-3567.42,9830.75,443.993,17.4851,208.037,29.4658
59,0,9378.48,-1290.37,-1272.48,10.3234,51.6298,-13.9961,-3722.63,9541.47,822.832,16.7089,197.278,31.5354
59,1,9185.64,-1343.07,-1292.84,8.81315,51.1448,-12.7002,-3763.72,9459.48,964.817,16.144,192.062,32.6971
60,0,9105.23,-1419.62,-1365.75,8.15618,50.3671,-11.3741,-3389.79,9404.55,1273.07,15.6715,179.462,35.832
60,1,9146.93,-1480.73,-1535.56,8.87018,50.4111,-9.98703,-3215.52,9403.19,1385.02,15.3663,173.51,37.2856
61,0,9179.34,-1544.15,-1728.3,9.96774,50.5791,-9.26908,-2711.29,9366.21,1564.23,14.1641,162.416,41.0897
61,1,9212.83,-1521.6,-1970.01,12.3887,50.8836,-8.64438,-2432.76,9366.09,1612.52,13.6892,157.579,43.0016
62,0,9240.38,-1472.51,-2128.24,14.9351,51.2494,-8.06491,-2068.1,9438.99,1619.65,12.4264,149.924,46.4261
62,1,9350.33,-1406.71,-2371,17.6023,51.3871,-7.83557,-1876.03,9404.55,1634.02,11.5559,145.629,48.3671
63,0,9514.28,-1281.13,-2700.1,20.5744,52.087,-7.85051,-1500.72,9424.69,1630.47,9.80528,139.342,51.0771
63,1,9618.57,-1166.15,-2987.53,22.9843,52.8647,-8.04839,-1279.93,9416.44,1645.97,9.1314,136.481,51.9815
64,0,9520.8,-1075.14,-3108.75,24.6774,52.6837,-8.47483,-1055.06,9298.12,1648.42,7.57947,130.363,52.8336
64,1,9316.19,-1053.45,-3083.82,25.3804,49.8686,-9.23643,-948.197,9253.6,1693.8,7.07317,127.502,53.1554
65,0,9121.01,-1100.04,-2908.11,25.6704,45.039,-9.86192,-779.645,9100.69,1695.13,6.57121,121.856,51.9387
65,1,9045.36,-1219.62,-2710.55,26.8726,38.7911,-10.2738,-745.755,8985.58,1715.39,6.35681,118.008,50.7486
66,0,9078.72,-1279.65,-2562.01,27.6668,34.9438,-10.5028,-547.516,8795.46,1687.99,6.15893,111.75,47.8867
66,1,9146.93,-1370.5,-2420.77,28.9914,30.5567,-10.6857,-439.421,8731.67,1675.94,6.1432,109.011,46.6928
67,0,9204.42,-1430.47,-2355.96,30.7136,26.4544,-10.3666,-160.983,8671.92,1672.36,6.11291,101.875,42.9347
67,1,9232.01,-1462.81,-2202.97,32.2994,23.6169,-9.87884,-39.5739,8627.56,1660.4,6.2801,98.7975,41.1597
68,0,9287,-1473.62,-2015.02,33.4587,21.2537,-9.0716,186.284,8637.04,1606.62,6.02203,92.3761,36.2754
68,1,9346.87,-1528.58,-1788.86,34.1759,19.2105,-8.38513,380.415,8700.41,1528.83,6.05154,89.6661,33.965
69,0,9479.59,-1557.41,-1553.02,34.9681,18.035,-7.45594,636.394,8845.11,1415.17,5.50433,84.5685,29.6582
69,1,9555.18,-1604.02,-1293.3,36.1869,18.0787,-6.69316,733.769,8908.78,1394.6,5.25925,82.288,27.2431
70,0,9567.23,-1607.73,-1025.15,37.8478,18.3076,-5.83989,975.135,8890.92,1355.21,4.2856,76.9166,21.5512
70,1,9542.14,-1593.36,-832.256,40.1637,18.1255,-4.92526,1024.78,8889.66,1347.92,3.73525,74.4072,18.8891
71,0,9501.46,-1536,-736.333,41.6597,17.8663,-4.51259,1072.48,8856.23,1249.99,2.38081,70.085,13.8061
71,1,9454.78,-1431.92,-736.178,44.4154,17.2117,-3.99489,1145.51,8876.43,1237.76,1.81432,67.8981,11.4194
72,0,9367.48,-1299.08,-788.789,47.5712,16.4646,-3.56767,1163.58,8826.36,1098.06,0.444927,64.5646,7.87294
72,1,9320.67,-1206.8,-797.285,51.1373,15.1853,-3.20181,1188.67,8805.87,1045.08,-0.228167,62.5783,6.31196
73,0,9245.36,-1076.43,-834.294,54.4918,13.8131,-2.79032,1254.44,8687.62,965.033,-1.94768,59.0618,2.91857
73,1,9150.79,-956.661,-915.635,57.2671,12.4717,-2.40913,1273.72,8633.52,931.36,-3.13887,57.3946,1.4642
74,0,9126.7,-860.862,-1038.87,59.6609,11.6322,-2.27144,1212.79,8567.78,914.616,-4.76829,54.8678,0.565697
74,1,9155.37,-791.384,-1223.11,62.0693,11.8741,-2.1192,1263.98,8572.39,877.544,-5.60897,53.9485,0.213611
75,0,9143.5,-714.8,-1356.14,64.3258,13.1074,-1.93627,1259.41,8602.32,852.367,-6.46184,52.0771,1.09559
75,1,9043.1,-647.732,-1398.18,65.7907,14.4796,-1.66208,1228.27,8595.21,865.465,-6.84422,51.3722,1.49371
76,0,8879.18,-617.735,-1324.16,66.2345,15.0452,-1.0834,1264.05,8543.81,918.076,-7.02715,50.2007,2.61959
76,1,8748.6,-584.247,-1157.9,66.2349,14.9394,-0.640834,1246.25,8556.82,962.407,-7.11881,49.6802,3.26161
77,0,8683.85,-563.858,-985.484,65.4438,13.9654,0.13572,1264.08,8473.28,1072.39,-6.72345,48.6759,4.22069
77,1,8704.05,-581.745,-903.896,63.5858,12.609,1.32416,1252.21,8452.71,1088.2,-6.4941,48.2624,4.5122
78,0,8808.07,-678.563,-811.804,61.6798,11.7541,2.96971,1194.81,8416.9,1171.77,-5.59638,48.3686,4.96853
78,1,9025.74,-823.358,-749.462,59.3486,11.7223,4.78364,1134.94,8389.31,1248.48,-4.66601,48.1865,5.16759
79,0,9263.99,-1005.26,-705.162,56.7117,13.4567,6.47601,1027.31,8517.09,1342.98,-2.99095,47.5165,4.90913
79,1,9416.2,-1178.87,-665.65,54.3482,15.9866,8.03108,992.404,8568.83,1358.73,-2.27183,47.0433,4.72581
80,0,9529.94,-1364.39,-630.926,52.4115,18.7455,9.55547,769.017,8628.58,1423.21,0.497249,45.1259,4.33006
80,1,9557.65,-1534.42,-604.575,51.1298,21.1397,11.0342,654.899,8665.77,1435.35,2.04131,44.4666,3.93352
81,0,9561.24,-1675.73,-577.049,49.8954,22.9851,12.452,652.397,8865.31,1406.65,4.3096,42.3521,4.06963
81,1,9626.95,-1723.79,-559.069,49.0712,23.6884,13.3525,677.513,8969.79,1412.55,5.77577,41.1444,4.37451
82,0,9763.31,-1710.7,-576.956,47.9898,23.8261,14.2211,838.836,9291.23,1367.2,7.86193,39.059,4.35995
82,1,9880.7,-1708.26,-594.936,47.0441,24.1609,14.9076,894.227,9416.35,1350.33,8.61251,38.004,4.3749
83,0,10054.1,-1619.87,-523.295,46.1448,24.4508,15.6542,895.431,9513.17,1292.99,10.9402,35.3104,3.79701
83,1,10218.2,-1546.75,-483.66,45.002,24.3753,16.4925,884.681,9528.95,1212.79,12.0268,33.9036,3.5063
84,0,10389.4,-1474.95,-478.84,42.9611,23.8273,17.2549,838.063,9613.72,1185.15,14.2789,31.2097,3.65815
84,1,10516.4,-1462.84,-496.758,40.4158,23.2935,17.5759,780.602,9697.6,1150.48,15.3194,29.9552,3.67388
85,0,10630.1,-1504.67,-513.533,38.1589,22.9882,17.6676,755.394,9891.27,1024.97,17.2065,26.6227,4.02361
85,1,10687.7,-1564.51,-513.564,36.5268,22.7443,17.2266,665.773,9950.3,964.91,17.9418,24.9556,4.14634
86,0,10686.5,-1569.42,-480.107,35.2002,22.3179,16.8906,536.517,10086.5,878.842,19.4481,20.284,2.91424
86,1,10650.7,-1565.81,-394.008,34.4674,21.6932,16.3729,513.533,10128.7,798.582,19.9847,18.0504,2.04367
87,0,10650.6,-1623.15,-246.865,33.5079,20.0641,15.0787,388.138,10235,748.257,20.6845,12.7852,-0.939034
87,1,10700.8,-1610.17,-80.4757,33.1405,18.0216,13.3261,294.595,10303.4,690.827,21.1884,10.3218,-2.25531
88,0,10698.5,-1541.99,22.6139,33.3379,16.4048,11.1318,51.961,10425.3,538.988,21.6456,5.26946,-5.20733
88,1,10681.8,-1368.62,71.7644,32.502,14.6676,9.08851,-66.9451,10498.5,478.871,21.677,2.74587,-6.84304
89,0,10674.6,-1270.22,102.904,30.7805,13.3403,6.77222,-267.75,10747.1,230.367,21.0987,-4.04094,-10.2219
89,1,10648.3,-1301.15,42.045,28.5252,12.0448,4.78953,-305.315,10866,112.605,20.9603,-7.13219,-12.0106
90,0,10643.4,-1409.98,-23.8495,25.919,10.0189,3.59913,-425.89,10997.5,-207.633,19.2415,-12.7782,-15.0854
90,1,10770,-1613.32,87.1186,23.3273,8.62982,2.39535,-494.349,11051.6,-350.666,18.476,-15.3489,-16.2648
91,0,10937.6,-1800.16,226.044,21.9984,9.44887,1.38867,-542.202,11178.3,-643.439,16.5437,-18.8041,-17.2541
91,1,11176.9,-1918.79,222.738,21.5858,13.1483,0.747835,-598.458,11226.4,-780.417,15.5039,-20.2431,-17.2872
92,0,11400.8,-2108.94,174.854,21.6157,17.2801,0.290321,-573.496,11411.6,-1131.73,12.6735,-22.2368,-16.1456
92,1,11260.3,-2135.69,105.468,22.7416,26.3698,-0.547211,-570.994,11494.5,-1316.66,11.3576,-23.094,-15.382
93,0,11026.9,-2126.05,28.8537,23.5661,34.9721,-1.15775,-502.936,11516.1,-1623.86,8.29897,-23.0338,-14.0118
93,1,10547.4,-2129.63,59.7472,24.3128,37.8183,-1.69119,-443.004,11553.2,-1790.71,6.76947,-23.0334,-13.1869
94,0,10154.3,-1994.66,248.627,24.6491,35.2349,-2.28561,-183.688,11517.4,-2015.49,3.61918,-20.5389,-11.5885
94,1,10120.2,-1751.78,392.464,23.463,32.3061,-2.98663,-28.8845,11487.4,-2118.79,2.16562,-19.1932,-10.9607
95,0,10201.6,-1570.84,399.878,22.1817,32.4221,-3.49017,349.988,11213.8,-2320.77,-1.27343,-13.2746,-8.45042
95,1,10047.6,-1360.28,378.315,21.297,33.8238,-3.73446,490.765,11123.5,-2323.7,-2.56058,-10.2463,-7.16562
96,0,9723.42,-1108.93,463.086,19.3635,33.5228,-3.59795,648.505,10600.3,-2374.89,-4.858,-2.85047,-4.22854
96,1,9408.5,-904.112,557.71,16.5444,32.0606,-3.30842,659.687,10388.5,-2398.99,-5.88356,0.607403,-2.69945
97,0,9250.18,-771.118,608.066,14.6518,31.2813,-3.04917,761.11,9978.69,-2424.08,-6.97955,7.18179,0.648721
97,1,9136.46,-792.373,664.291,11.7584,31.5693,-2.80527,860.585,9809.12,-2411.01,-7.68215,11.3674,2.71126
98,0,9039.45,-834.325,730.124,9.08929,33.3958,-2.42447,1067.41,9402.88,-2357.19,-8.35249,18.1425,6.33441
98,1,8876.8,-968.185,797.161,7.33477,36.1995,-2.18017,1137.23,9205.84,-2345.11,-8.39969,21.1412,7.89536
99,0,8672.14,-1114.28,796.111,7.45319,38.5028,-1.99725,1315.24,8825.8,-2238.81,-8.76437,28.1716,12.1558
99,1,8447.11,-1159.97,761.418,8.67153,40.1652,-1.99685,1377.86,8637.23,-2152.5,-9.17624,31.157,14.0386
100,0,8206.52,-1138.5,705.192,9.89143,40.1837,-2.51417,1475.82,8241.64,-2049.62,-9.31393,36.3765,16.8541
100,1,7983.81,-1173.07,635.776,10.7762,39.2852,-3.1849,1508.35,8023.17,-2027.87,-9.32927,39.3722,18.8391
101,0,7771.92,-1244.86,621.288,12.1621,38.4768,-3.5362,1633.77,7683.66,-1804.52,-9.238,44.1067,21.9453
101,1,7575.56,-1328.64,669.079,13.7931,38.1558,-3.5063,1658.02,7526.29,-1707.11,-9.16169,46.3246,23.2309
102,0,7315.94,-1414.83,756.414,14.7549,38.0185,-3.42998,1702.17,7282.45,-1477.7,-8.73564,49.871,25.0421
102,1,6951,-1518.94,934.605,16.1711,37.5315,-3.04957,1697.54,7142.04,-1374.33,-8.5063,51.3407,25.701
103,0,6655.11,-1596.82,1115.42,18.0913,35.4614,-2.69866,1675.97,6862.34,-1146.1,-7.3804,53.1519,26.8269
103,1,6538.67,-1703.28,1187.46,20.5598,32.0791,-1.98308,1635.32,6754.09,-1011.68,-6.7384,53.9021,27.4233
104,0,6496.72,-1855.24,1204.27,23.5925,29.5157,-1.26632,1669.86,6599.93,-844.272,-5.0948,54.0091,28.9603
