Frame,Sub Frame,ACCX1,ACCY1,ACCZ1,GYROX1,GYROY1,GYROZ1,ACCX2,ACCY2,ACCZ2,GYROX2,GYROY2,GYROZ2
1,0,-1338.37,-754.2,8312.71,-7.33219,36.6005,9.03971,-1341.96,-1025.95,8208.57,2.74411,23.1552,10.8383
1,1,-1255.76,-548.289,7763.26,-7.4543,38.0639,7.97267,-1326.39,-956.481,8015.79,2.46948,24.695,10.2135
2,0,-1071.43,-384.284,7207.79,-8.29257,39.2377,6.49406,-1054.68,-599.793,7188.69,2.19517,26.1279,9.14644
2,1,-1054.64,-344.765,6616.43,-12.0727,38.5977,5.36595,-1016.33,-367.524,6800.75,1.57019,26.9359,8.21655
3,0,-1100.13,-125.723,5907.76,-14.3291,36.235,6.76809,-1206.66,-337.582,5910.19,-3.58169,23.1408,9.31386
3,1,-1164.77,-171.17,5190.7,-16.6156,29.6044,6.76837,-1339.55,-329.204,5471.97,-4.64947,21.6464,9.61892
4,0,-1154.01,-142.464,4259.38,-19.6339,23.5066,6.44819,-1256.97,-336.384,4386.31,-9.16099,9.97098,8.24712
4,1,-1165.97,-313.616,3778.08,-20.9298,19.8479,8.0943,-1145.64,-325.613,3883.42,-10.0001,5.96039,8.58222
5,0,-1424.52,-468.055,3712.21,-19.9544,10.7632,10.1675,-2003.84,-873.814,3784.04,-8.01851,-4.09935,11.4936
5,1,-1917.7,-709.854,3421.35,-16.8296,-3.71804,13.6429,-2470.79,-1083.37,3811.56,-5.93007,-9.90823,13.384
6,0,-2126.04,-978.007,2964.07,-11.7993,-16.6757,17.4234,-2689.87,-1440.07,2967.72,1.38634,-28.4734,18.2007
6,1,-2343.9,-1248.55,2438.55,-3.1564,-26.8741,25.8985,-2876.62,-1703.46,2616.87,5.03032,-36.5851,21.0669
7,0,-1719.12,-1205.49,1782.55,6.12719,-36.2644,37.8799,-2191.98,-1626.88,1798.15,18.5197,-48.7486,37.8943
7,1,-896.703,-310.157,1095.41,16.7368,-42.1185,51.1878,-1492.84,-1312.06,1334.79,24.4663,-54.4358,45.64
8,0,212.97,1121.54,-375.727,24.4049,-50.746,60.5176,-317.359,743.154,-289.504,35.8371,-62.6058,58.657
8,1,1440,2789.08,-2385.63,22.7901,-57.1184,59.665,497.935,1861.43,-1261.69,40.32,-66.8139,63.4755
9,0,2975.84,3756.44,-3920.38,17.8206,-62.3014,52.5008,2505.3,3958.57,-3707.14,30.55,-76.2947,49.4987
9,1,4678.11,4151.52,-4256.89,6.96766,-67.0728,30.3074,3692.99,4620.81,-4504.69,24.04,-80.6401,39.3604
10,0,5051.77,4137.19,-3876.26,-2.66688,-62.2873,6.31313,5111.47,4729.73,-3782.93,10.4589,-71.8152,6.37583
10,1,5506.6,4341.86,-2014.94,-10.3957,-57.7442,-2.46914,5011.13,4836.28,-2533.19,5.13734,-66.2503,-2.46971
11,0,5872.95,4434.06,1227.89,-18.0176,-60.0454,-9.83153,5289.93,4748.91,1834.65,-2.74297,-72.1486,-8.67295
11,1,5331.96,3982.81,5387.74,-26.1578,-69.0082,-27.0865,5353.45,4636.38,3955.12,-6.61569,-75.8078,-14.1155
12,0,4008.03,3198.73,10069.6,-26.3112,-83.5351,-47.681,3141.46,2708.08,10505,-9.17657,-94.2966,-44.6305
12,1,2384.78,2255.43,14445,-17.623,-99.6632,-64.2517,2072.22,1854.34,13382.3,-7.54603,-103.826,-57.6978
13,0,1242.68,1354,18445.8,-7.11988,-109.664,-79.1145,1107.42,560.395,18637,8.96146,-119.175,-76.7508
13,1,300.56,764.994,21717.5,-1.03702,-104.285,-97.3001,802.06,102.957,20881,15.8992,-123.034,-86.402
14,0,-916.857,408.24,23842.5,-1.61564,-93.5072,-106.981,-88.4755,215.462,23300.1,14.2686,-101.573,-105.867
14,1,-1647.16,-323.136,25089.9,-13.8553,-64.3478,-110.015,-616.478,287.301,24247.3,10.3815,-88.5678,-112.546
15,0,-3002.18,-1000.72,24762.1,-34.754,-18.3278,-106.784,-809.226,-191.475,23999.5,-22.7247,-26.8672,-105.153
15,1,-4353.74,-1620.82,24489.1,-59.9061,30.8491,-96.3122,-2280.3,-792.426,23861.8,-40.2278,2.55979,-104.908
16,0,-5692.09,-2846.57,23638.1,-74.4045,69.2651,-70.3687,-5207.08,-3322.86,22788.1,-63.2139,53.1954,-67.2152
16,1,-6403.25,-3623.57,21570.8,-84.1607,94.1292,-47.9287,-5995.08,-4276.02,22020.7,-72.3626,72.5453,-50.1377
17,0,-6469.14,-3885.77,18632,-99.3277,118.306,-36.0832,-5633.6,-4120.45,18148.5,-89.5255,98.183,-33.9957
17,1,-6830.61,-4501.03,15790,-113.383,144.601,-31.357,-5473.15,-4187.44,16324.9,-102.316,116.493,-30.7772
18,0,-7090.41,-4904.5,13371.8,-117.378,160.883,-15.7336,-6841.26,-5403.57,13273.8,-111.341,140.546,-14.56
