Frame,Sub Frame,ACCX1,ACCY1,ACCZ1,GYROX1,GYROY1,GYROZ1,ACCX2,ACCY2,ACCZ2,GYROX2,GYROY2,GYROZ2
1,0,5019.44,1594.54,-3848.68,-9.26829,37.4848,-47.9726,4768.05,2073.38,-3830.72,2.53051,25.1372,-46.1738
1,1,5656.3,2014.72,-3439.27,-11.5701,26.8293,-49.1768,4950.01,2213.44,-3530.25,-0.304877,19.9238,-45.3659
2,0,6640.32,2631.23,-2896.99,-10.7774,17.1037,-52.2714,6130.35,2806,-2813.19,0.762191,8.04882,-49.7104
2,1,8008.6,3354.27,-2519.9,-9.81708,9.14636,-55.8079,6786.36,3248.93,-2528.28,1.79878,2.68293,-52.0579
3,0,9556.45,4009.09,-2140.42,-11.0976,3.96343,-57.1189,9009.37,4359.84,-2103.31,1.46342,-5.82315,-56.0823
3,1,10840.9,3910.93,-2039.86,-13.0488,3.00305,-56.1128,10000.6,4835.09,-1867.48,1.0061,-9.02439,-56.7683
4,0,12003.3,4368.22,-944.516,-19.2073,12.4695,-59.5275,11652.6,4829.1,-580.598,-7.13412,1.85972,-59.0549
4,1,12320.6,5033.81,-184.355,-19.5427,17.622,-53.4757,12233.2,5153.52,-51.4757,-8.44513,5.73171,-58.4147
5,0,12348.1,5163.1,248.996,-24.878,21.128,-28.5824,11962.6,5780.8,506.372,-14.2988,8.44512,-27.058
5,1,12375.6,4638.77,834.378,-30.5793,25.8232,1.63103,11941.1,5779.6,881.066,-18.9634,10.2896,-3.78053
6,0,12016.5,3602.08,1013.94,-32.9268,33.8415,26.814,11768.7,3998.32,994.791,-22.2409,19.2073,29.314
6,1,11398.8,2365.47,890.643,-32.0579,43.8262,42.6982,11684.9,3129.22,1017.54,-22.8659,24.1311,42.2866
7,0,10447.1,1237.8,757.765,-28.4451,50.9299,47.1342,10335.8,1278.51,833.183,-19.4665,34.878,50.3201
7,1,9024.95,328.007,623.69,-16.997,52.3933,42.1952,9593.57,385.467,767.342,-16.5244,38.689,51.433
8,0,7445.97,-57.4604,226.253,-0.868934,47.9421,28.8568,7592.02,-345.961,345.963,3.33837,36.0519,37.3629
8,1,5820.31,-14.3655,-433.349,12.0884,38.5976,9.40553,6630.74,-462.081,90.9799,15.3354,32.3323,24.7561
9,0,4322.73,381.874,-1022.32,17.6524,31.1281,-2.01218,4234.15,-14.3662,-884.655,27.4847,18.7348,-0.426779
9,1,3277.66,1023.52,-1406.59,26.9055,15.8842,-9.25304,3141.19,318.428,-1204.28,32.0579,11.6768,-9.84756
10,0,2755.73,1136.05,-1754.95,35.2744,-1.96643,-5.57928,2011.13,1259.35,-1928.53,44.8323,-13.3688,-4.17685
