Frame,Sub Frame,ACCX1,ACCY1,ACCZ1,GYROX1,GYROY1,GYROZ1,ACCX2,ACCY2,ACCZ2,GYROX2,GYROY2,GYROZ2
1,0,9193.79,-4276.04,-2321,-16.1742,17.7746,-6.61537,-4066.73,9422.38,2099.78,-1.3734,-5.44183,-0.0504819
1,1,9176.99,-4218.68,-2456.27,-16.1432,17.5613,-6.84427,-4003.16,9402.07,2123.59,-0.960608,-5.1226,1.03626
2,0,9178.17,-4142.07,-2558.08,-16.2042,17.1805,-6.98155,-3868.05,9412.77,2053.17,0.135343,-4.9087,2.60405
2,1,9147.1,-4083.38,-2584.53,-16.6304,16.8449,-7.0122,-3790.08,9425.96,2064.93,0.67041,-4.9237,3.42932
3,0,9168.54,-4019.95,-2571.4,-17.1792,16.3118,-6.96655,-3756.54,9385.35,1981.37,1.59908,-5.03033,4.44961
3,1,9179.37,-3970.84,-2509.22,-17.3627,15.4738,-6.99687,-3713.47,9378.08,1973.98,2.16415,-4.87837,5.03001
4,0,9190.12,-3960.01,-2436.2,-17.1955,14.833,-7.37741,-3672.76,9348.22,1928.62,3.26043,-4.54317,6.03498
4,1,9215.24,-3931.33,-2339.27,-16.8146,14.6951,-7.95652,-3595.01,9254.93,1835.29,3.68887,-4.17731,6.52407
5,0,9215.29,-3928.87,-2294.87,-15.9769,14.5582,-8.52062,-3518.37,9263.1,1720.39,4.35863,-3.62885,7.5897
5,1,9263.08,-3931.28,-2328.29,-15.0469,14.2383,-9.48026,-3471.64,9285.89,1711.82,4.52752,-3.47561,7.97248
6,0,9312.19,-3945.62,-2406.06,-14.1323,14.1007,-10.2583,-3419,9429.32,1550.54,4.42089,-3.15605,8.30737
6,1,9312.27,-3943.26,-2431.31,-13.5829,14.0854,-10.7007,-3429.65,9472.67,1515.49,4.11634,-3.23139,8.27768
7,0,9294.32,-3937.27,-2425.34,-13.0648,13.9484,-11.2036,-3459.58,9432.03,1461.77,3.29397,-2.88182,7.9578
7,1,9264.41,-3936.07,-2437.27,-12.9725,13.5829,-11.8893,-3466.8,9476.15,1380.36,2.95748,-2.78955,8.04846
8,0,9299,-3971.92,-2460.01,-13.0335,13.1104,-12.4384,-3481.14,9628.05,1273.87,1.46599,-2.85053,7.8815
8,1,9417.41,-4012.63,-2491.12,-13.3683,13.0791,-12.7436,-3468.03,9676.16,1248.57,0.929959,-2.86585,7.62228
9,0,9480.99,-4040.18,-2513.89,-14.0234,13.6576,-13.1701,-3462.02,9824.35,1188.83,-1.13968,-3.18541,6.6936
9,1,9526.47,-4078.47,-2482.85,-14.4356,13.8871,-13.4753,-3447.68,9823.5,1200.64,-2.24013,-3.24703,6.31114
10,0,9563.59,-4135.9,-2409.87,-14.6948,13.9481,-13.9018,-3503.81,9803.07,1261.66,-4.34106,-2.8665,5.36746
10,1,9564.85,-4198.15,-2360.73,-15.2126,14.283,-14.2527,-3545.77,9755.26,1260.58,-5.27391,-2.83521,4.92402
11,0,9540.93,-4256.81,-2347.52,-15.2289,15.0294,-14.7401,-3588.85,9664.33,1283.24,-6.87235,-2.86585,4.64979
11,1,9515.79,-4282.01,-2367.83,-14.909,15.6091,-15.1063,-3658.24,9642.64,1300.04,-7.56066,-2.7289,4.34492
12,0,9416.56,-4289.21,-2364.29,-14.4519,16.5991,-15.6394,-3734.85,9550.64,1366.98,-8.21542,-2.50032,4.17699
12,1,9266.97,-4211.54,-2378.61,-14.4662,17.6207,-16.1123,-3793.54,9512.18,1402.98,-8.46029,-2.30207,4.00939
13,0,9173.48,-4192.23,-2388.21,-14.7405,17.6833,-16.3565,-3860.56,9538.45,1436.47,-8.65822,-2.07349,4.46558
13,1,9055.05,-4201.81,-2332.05,-14.4975,17.0285,-16.5394,-3842.76,9494.3,1453.27,-8.71952,-2.1035,4.7711
14,0,8928.14,-4139.69,-2259.02,-14.2076,16.0076,-16.6767,-3845.06,9418.89,1452.09,-8.62821,-2.3624,5.5475
14,1,8911.19,-4060.67,-2226.63,-14.055,15.4122,-16.753,-3900.07,9388.88,1465.23,-8.41496,-2.30207,5.88399
15,0,8901.67,-4001.98,-2257.67,-13.9787,15.6701,-17.0422,-3974.27,9320.74,1437.78,-8.07975,-2.66696,7.19287
15,1,8918.36,-3956.48,-2298.38,-14.0547,16.2036,-17.4081,-4000.7,9270.4,1426.94,-7.98781,-2.85053,8.26107
16,0,8914.83,-3906.21,-2318.77,-13.9941,17.0262,-18.0935,-3974.43,9250.02,1419.77,-7.5313,-3.41367,9.84515
16,1,8857.44,-3882.22,-2351.06,-13.8265,17.8039,-18.8405,-3936.12,9235.65,1435.29,-7.28675,-3.73452,10.4418
17,0,8803.54,-3853.51,-2364.27,-13.8261,18.0335,-19.1614,-3897.81,9181.85,1380.36,-7.57566,-3.96309,11.9487
17,1,8752.07,-3841.5,-2358.3,-13.9328,18.0031,-19.8008,-3898.94,9139.91,1388.59,-7.50033,-4.2983,12.8955
18,0,8699.4,-3851.05,-2345.14,-13.5069,17.577,-20.4565,-3769.9,9113.56,1319.34,-7.80424,-4.29894,14.464
18,1,8671.82,-3829.57,-2355.87,-12.7602,16.7543,-21.0206,-3693.11,9129.05,1328.72,-8.01814,-4.31395,15.076
19,0,8645.5,-3796.05,-2349.93,-12.2871,15.5201,-21.4781,-3546.05,9078.91,1351.51,-8.87051,-3.91841,16.0806
19,1,8631.11,-3787.63,-2342.73,-12.1495,14.6808,-21.768,-3482.4,9030.98,1380.21,-9.14635,-4.00875,16.1742
20,0,8675.31,-3848.57,-2309.26,-11.6776,14.3752,-21.9206,-3347.32,8999.84,1449.58,-10.105,-3.5832,16.4171
20,1,8726.8,-3890.54,-2327.11,-10.9309,14.8771,-21.8599,-3339.85,8967.53,1480.79,-10.3355,-3.36898,16.7527
21,0,8778.27,-3915.69,-2343.91,-10.0013,15.974,-21.7836,-3344.71,8851.55,1520.25,-11.3092,-3.58192,16.9662
21,1,8856.04,-3936.04,-2378.58,-8.98003,17.0566,-21.9966,-3310.04,8776.02,1539.46,-11.692,-3.74984,16.7839
22,0,8892.04,-3919.35,-2475.45,-8.39996,17.6366,-22.1645,-3155.81,8651.64,1663.76,-12.1182,-3.82614,16.3878
22,1,8893.27,-3869.11,-2583.2,-7.83617,18.2917,-22.3777,-3061.07,8653.77,1733.35,-12.2105,-3.84147,16.2805
23,0,8913.58,-3843.91,-2659.87,-6.99816,18.6126,-22.6216,-2884.1,8720.79,1846.94,-12.7886,-3.29365,15.824
23,1,8927.96,-3790.11,-2734.08,-5.94657,17.7455,-22.7742,-2833.53,8695.82,1921.28,-13.0791,-2.83585,15.7164
24,0,8930.37,-3708.73,-2738.99,-5.57943,16.5717,-22.8505,-2766.62,8634.77,2070.74,-13.2011,-1.83088,14.2709
24,1,8959.05,-3665.56,-2723.42,-4.77271,15.2762,-23.0485,-2736.59,8615.54,2105.72,-13.2774,-1.52439,13.7348
25,0,9058.3,-3608.15,-2676.79,-3.55352,13.7064,-23.2011,-2759.27,8560.56,2252.68,-13.3383,0.073405,13.2174
25,1,9192.35,-3555.45,-2665.94,-2.13608,13.2014,-23.0948,-2778.45,8585.53,2313.98,-13.2624,0.655408,13.0944
26,0,9370.65,-3518.32,-2695.82,-0.855267,13.9012,-22.9575,-2767.72,8703.94,2450.23,-13.323,2.49678,12.5619
26,1,9497.66,-3499.14,-2787.9,0.272943,15.6528,-22.7442,-2727.06,8789.03,2512.68,-13.3993,3.33801,12.515
27,0,9531.3,-3452.51,-2829.92,1.32485,16.7977,-22.6373,-2758.04,8820.21,2601.16,-13.4603,4.78418,12.1045
27,1,9562.39,-3416.56,-2841.9,2.7723,17.3318,-22.4394,-2700.79,8842.95,2614.49,-13.3843,5.65477,11.723
28,0,9604.28,-3341.23,-2776.2,4.99679,17.3021,-22.1498,-2612.19,8931.42,2763.83,-14.0841,8.34916,11.555
28,1,9622.28,-3250.25,-2717.48,7.0706,17.1192,-21.8449,-2594.11,8955.52,2833.51,-14.2836,9.66383,11.7527
29,0,9656.96,-3123.42,-2691.11,8.56531,17.0732,-21.5857,-2566.63,9015.26,2982.92,-14.4966,12.8757,12.1488
29,1,9642.69,-3009.65,-2686.29,10.272,17.3927,-21.1592,-2585.69,9017.79,3048.98,-14.6188,14.4046,12.2561
30,0,9591.25,-2861.29,-2657.61,11.9643,17.5913,-20.5344,-2627.58,8907.81,3237.84,-14.5429,17.6318,12.8039
30,1,9558.88,-2666.22,-2640.82,12.515,17.8959,-19.8637,-2613.32,8937.44,3327.89,-14.4209,19.1151,13.1248
31,0,9538.52,-2463.9,-2602.56,12.4697,18.8095,-19.193,-2597.72,8790.61,3452.24,-12.8838,22.5095,14.4946
31,1,9508.62,-2284.3,-2561.85,12.2108,20.4549,-18.294,-2620.41,8691.03,3537.35,-12.3781,24.3736,15.1673
32,0,9414.15,-2108.33,-2555.8,12.0428,22.1016,-17.5923,-2567.89,8490.17,3710.73,-10.415,28.2863,17.3439
32,1,9292.06,-1963.42,-2564.18,11.9209,22.8652,-17.3021,-2536.68,8380.99,3781.61,-9.11698,29.8774,18.551
33,0,9203.41,-1879.54,-2609.6,12.0729,23.353,-17.1648,-2504.39,8247.04,3873.67,-6.61988,33.15,21.0934
33,1,9159.06,-1884.2,-2634.8,12.7733,23.7495,-17.3168,-2462.49,8228.83,3855.94,-4.89498,34.8921,22.4837
34,0,9197.24,-1959.53,-2638.41,15.0421,23.7045,-17.6063,-2247.32,8400.96,3847.47,-2.0167,38.0893,24.6459
34,1,9237.98,-2072.02,-2667.09,18.6077,22.9281,-18.0025,-2210.99,8481.42,3878.56,-0.884629,39.5875,25.4875
35,0,9346.79,-2180.98,-2691.06,22.3579,21.8156,-18.2467,-2013.89,8529.27,3855.92,1.44423,42.9517,26.2792
35,1,9484.45,-2347.27,-2609.83,25.7122,21.1135,-18.6123,-1962.02,8585.53,3812.82,2.42338,44.5266,26.6614
36,0,9655.58,-2537.6,-2480.57,29.2635,20.4735,-18.9934,-1878.41,8700.35,3723.12,4.37171,48.4386,27.0269
36,1,9859.04,-2653.85,-2403.85,32.8764,19.2549,-19.268,-1826.81,8805.75,3696.65,5.0913,50.243,26.7689
37,0,10109.2,-2698.23,-2414.51,35.6979,19.359,-19.6488,-1651.1,9023.41,3635.7,5.80672,53.8964,26.6007
37,1,10351,-2730.54,-2379.91,37.1632,20.2426,-19.8018,-1558.69,9091.97,3554.3,6.12789,55.9284,26.6767
38,0,10499.6,-2703.12,-2354.72,39.0825,21.9943,-19.954,-1417.59,9215.07,3487.24,6.66071,62.1999,26.1139
38,1,10547.6,-2673.16,-2340.35,41.095,23.3217,-19.8174,-1377.86,9284.66,3482.35,7.14883,64.9834,25.6864
39,0,10628.9,-2588.27,-2286.55,42.5897,24.6476,-19.4822,-1400.57,9276.37,3435.77,8.03217,72.5481,24.9706
39,1,10704.4,-2551.04,-2316.31,44.1594,26.8717,-19.0707,-1436.47,9205.82,3444.02,8.70355,76.2326,25.2126
40,0,10678.2,-2579.7,-2303.27,46.6275,30.6956,-19.2373,-1274.02,9194.91,3309.04,10.4849,83.905,25.4572
40,1,10377,-2454.3,-2143.08,48.7323,32.2248,-19.3293,-1259.27,9151.92,3228.64,11.2648,87.7567,25.3965
41,0,10216.2,-2315.36,-2031.59,50.303,30.0955,-19.4206,-1248.62,9071.74,3106.67,14.4001,98.5033,26.0506
41,1,10183.8,-2122.74,-2043.39,51.1729,28.7358,-19.7251,-1215.1,8992.72,3055.03,16.1573,103.458,26.3262
42,0,10176.6,-2057.84,-2011.2,51.5697,28.9018,-19.8627,-1310.64,8855.16,2881.72,21.0589,115.559,27.848
42,1,10214.8,-2039.89,-2036.2,52.1485,29.4809,-19.6498,-1406.49,8822.62,2724.78,23.0785,121.049,28.9015
43,0,10181.4,-2002.81,-2031.51,53.0019,31.5972,-19.3906,-1566.76,8878.8,2415.04,27.7512,130.624,31.1397
43,1,10008,-2017.07,-1978.89,52.8209,34.493,-19.4206,-1667.47,8850.25,2293.7,30.0444,134.709,32.0575
44,0,9872.64,-2043.42,-1927.4,52.0438,36.4309,-19.5425,-2036.85,8963.66,1921.98,35.2352,143.507,33.3211
44,1,9719.48,-2070.95,-1840.08,51.6467,36.4641,-19.208,-2204.97,9042.84,1807.61,37.3011,147.392,34.176
45,0,9620,-2106.85,-1811.22,52.0876,35.4285,-18.5376,-2056.91,9112.23,1602.09,40.6346,154.729,36.4749
45,1,9525.46,-2112.89,-1777.75,53.2148,34.4828,-17.8972,-1908.34,9149.41,1460.59,41.9812,158.123,37.5604
46,0,9493.02,-2075.84,-1745.41,53.8105,33.3096,-17.3787,-1504.21,9327.51,1189.16,43.9906,165.552,39.6916
46,1,9522.88,-2153.43,-1723.85,54.4046,32.9422,-16.617,-1332.46,9385.27,1081.03,44.7255,169.068,40.4572
47,0,9540.88,-2283.89,-1683.19,55.8971,33.3377,-15.7177,-961.896,9403.2,825.237,45.3039,179.175,42.2682
47,1,9514.61,-2339.1,-1599.45,58.3045,33.293,-14.803,-824.834,9380.53,742.203,45.6248,183.991,42.7746
48,0,9501.4,-2364.24,-1496.51,60.1047,32.7752,-14.2536,-725.607,9284.87,462.573,45.899,194.556,43.7939
48,1,9550.38,-2345.16,-1459.28,62.2682,31.5263,-13.7355,-701.488,9234.47,372.292,46.2039,199.388,43.8725
49,0,9603.08,-2282.97,-1437.75,64.2354,30.839,-13.1411,-840.125,9205.74,140.471,46.3262,207.593,43.6892
49,1,9636.62,-2250.57,-1367.2,64.8778,30.7774,-12.9422,-918.12,9184.18,47.9093,46.2958,212.1,43.1107
50,0,9615.17,-2317.46,-1237.99,65.5325,31.4318,-12.4247,-1086.69,9104.08,-139.739,46.3718,218.268,41.9225
50,1,9551.76,-2266.24,-1209.06,65.8687,30.9159,-11.7083,-1200.58,9042.96,-265.643,46.4938,220.898,41.0832
51,0,9598.24,-2197.95,-1232.98,65.4125,29.849,-11.3874,-1493.5,9134.89,-480.894,45.9766,224.628,39.0886
51,1,9709.53,-2154.83,-1261.71,64.7418,30.0297,-11.0676,-1606.47,9176.96,-585.313,45.9753,226.386,38.4756
52,0,9707.35,-2037.65,-1294.02,63.6145,31.3242,-10.8843,-1735.58,9376.54,-720.44,44.7584,227.727,37.4256
52,1,9599.72,-1987.21,-1288.11,62.0601,32.6204,-10.5341,-1851.78,9475,-822.301,43.7358,228.429,36.7993
53,0,9438.17,-2007.49,-1243.86,61.3725,32.9725,-10.4268,-2242.72,9546.77,-943.139,41.254,227.761,36.616
53,1,9294.47,-2033.84,-1137.41,61.0066,32.303,-10.6551,-2426.42,9549.3,-1041.36,39.9857,227.181,36.2658
54,0,9228.51,-2029.1,-1070.27,60.5951,31.1602,-10.96,-2704.99,9593.48,-1109.63,36.7584,223.786,36.1586
54,1,9171.07,-2029.08,-997.292,60.2596,29.8037,-11.4931,-2795.22,9613.91,-1146.78,35.1383,221.953,36.2955
55,0,9087.31,-2008.77,-901.549,60.046,28.3556,-12.1485,-2939.83,9668.89,-1154.01,31.0587,216.412,36.2045
55,1,9064.45,-1937.02,-872.693,59.0413,26.8465,-13.0475,-3027.4,9715.62,-1193.44,28.98,213.721,36.2499
56,0,9046.52,-1958.38,-853.564,57.7609,25.5047,-14.1601,-3212.72,9657.13,-1156.49,25.0218,207.024,35.6414
56,1,8997.49,-1929.8,-797.357,56.8912,25.046,-15.0903,-3277.65,9602,-1204.17,23.2783,203.874,35.4268
57,0,8907.76,-1879.51,-715.98,55.8856,25.1826,-15.944,-3495.16,9408.34,-1233,19.0468,193.95,33.829
57,1,8764.18,-1928.42,-597.523,54.7424,25.7004,-16.2042,-3606.8,9368.47,-1228.24,17.3177,189.408,32.9275
